,activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
556,16174,93,official,20200101,anonymous,A,2,1,1
557,16185,11,official,20200101,anonymous,A,2,1,1
558,16169,174,official,20200101,anonymous,A,2,1,1
559,16170,69,official,20200101,anonymous,H,1,1,1
560,16181,91,official,20200101,anonymous,H,1,1,1
561,16262,92,official,20200101,anonymous,H,2,1,1
562,16245,153,official,20200101,anonymous,H,1,1,1
563,16166,127,official,20200101,anonymous,H,2,1,1
564,16198,165,official,20200101,anonymous,A,2,1,1
565,16187,136,official,20200101,anonymous,A,1,1,1
566,16196,86,official,20200101,anonymous,A,2,1,1
567,16210,8,official,20200101,anonymous,A,1,1,1
568,16457,11,official,20200101,anonymous,H,1,1,1
569,16474,123,official,20200101,anonymous,H,1,1,1
570,16477,165,official,20200101,anonymous,A,2,1,1
571,16469,93,official,20200101,anonymous,H,1,1,1
572,16473,174,official,20200101,anonymous,A,2,1,1
573,16562,92,official,20200101,anonymous,A,1,1,1
574,16486,8,official,20200101,anonymous,H,1,1,1
575,16563,136,official,20200101,anonymous,H,1,1,1
576,16512,86,official,20200101,anonymous,H,2,1,1
577,16509,69,official,20200101,anonymous,H,2,1,1
578,16514,153,official,20200101,anonymous,A,1,1,1
579,16520,127,official,20200101,anonymous,A,2,1,1
580,16635,91,official,20200101,anonymous,H,1,1,1
581,16810,153,official,20200101,anonymous,H,1,1,1
582,16860,123,official,20200101,anonymous,H,1,1,1
583,16861,165,official,20200101,anonymous,H,2,1,1
584,16934,136,official,20200101,anonymous,A,1,1,1
585,16890,11,official,20200101,anonymous,H,1,1,1
586,16870,86,official,20200101,anonymous,A,2,1,1
587,16980,92,official,20200101,anonymous,A,2,1,1
588,16864,8,official,20200101,anonymous,H,2,1,1
589,16891,175,official,20200101,anonymous,A,2,1,1
590,16894,174,official,20200101,anonymous,H,1,1,1
591,16918,69,official,20200101,anonymous,A,1,1,1
592,16992,91,official,20200101,anonymous,A,2,1,1
593,16900,127,official,20200101,anonymous,H,2,1,1
594,16971,93,official,20200101,anonymous,H,2,1,1
595,17284,136,official,20200101,anonymous,H,1,1,1
596,17255,175,official,20200101,anonymous,H,1,1,1
597,17329,11,official,20200101,anonymous,A,2,1,1
598,17257,174,official,20200101,anonymous,H,1,1,1
599,17256,69,official,20200101,anonymous,H,2,1,1
600,17353,123,official,20200101,anonymous,A,2,1,1
601,17386,86,official,20200101,anonymous,A,2,1,1
602,17313,91,official,20200101,anonymous,H,1,1,1
603,17393,92,official,20200101,anonymous,H,1,1,1
604,17306,153,official,20200101,anonymous,H,1,1,1
605,17304,127,official,20200101,anonymous,H,2,1,1
606,17309,8,official,20200101,anonymous,A,2,1,1
607,17361,165,official,20200101,anonymous,H,2,1,1
608,17375,93,official,20200101,anonymous,A,1,1,1
609,17529,136,official,20200101,anonymous,A,2,1,1
610,17509,91,official,20200101,anonymous,H,1,1,1
611,17649,165,official,20200101,anonymous,A,2,1,1
612,17684,86,official,20200101,anonymous,H,2,1,1
613,17635,69,official,20200101,anonymous,A,1,1,1
614,17698,91,official,20200101,anonymous,H,1,1,1
615,17652,127,official,20200101,anonymous,A,2,1,1
616,17669,123,official,20200101,anonymous,H,1,1,1
617,17739,136,official,20200101,anonymous,H,1,1,1
618,17659,175,official,20200101,anonymous,A,2,1,1
619,17676,93,official,20200101,anonymous,A,2,1,1
620,17692,11,official,20200101,anonymous,A,1,1,1
621,17672,174,official,20200101,anonymous,A,1,1,1
622,17740,92,official,20200101,anonymous,H,1,1,1
623,17681,153,official,20200101,anonymous,A,2,1,1
624,17662,8,official,20200101,anonymous,H,2,1,1
625,17945,86,official,20200101,anonymous,H,2,1,1
626,18001,123,official,20200101,anonymous,A,2,1,1
627,17985,175,official,20200101,anonymous,H,1,1,1
628,18115,11,official,20200101,anonymous,H,1,1,1
629,18083,91,official,20200101,anonymous,A,2,1,1
630,18086,92,official,20200101,anonymous,A,2,1,1
631,17979,153,official,20200101,anonymous,H,1,1,1
632,18040,165,official,20200101,anonymous,H,2,1,1
633,18145,136,official,20200101,anonymous,A,1,1,1
634,18045,93,official,20200101,anonymous,H,2,1,1
635,18047,174,official,20200101,anonymous,A,1,1,1
636,18052,69,official,20200101,anonymous,A,2,1,1
637,18049,127,official,20200101,anonymous,H,2,1,1
638,18057,8,official,20200101,anonymous,H,2,1,1
639,18404,175,official,20200101,anonymous,A,1,1,1
640,18434,86,official,20200101,anonymous,H,2,1,1
641,18405,174,official,20200101,anonymous,H,1,1,1
642,18421,92,official,20200101,anonymous,A,2,1,1
643,18414,153,official,20200101,anonymous,A,1,1,1
644,18422,8,official,20200101,anonymous,H,2,1,1
645,18452,123,official,20200101,anonymous,H,1,1,1
646,18450,165,official,20200101,anonymous,A,2,1,1
647,18451,93,official,20200101,anonymous,A,2,1,1
648,18462,11,official,20200101,anonymous,H,1,1,1
649,18455,69,official,20200101,anonymous,A,1,1,1
650,18512,91,official,20200101,anonymous,H,1,1,1
651,18508,136,official,20200101,anonymous,H,1,1,1
652,18499,127,official,20200101,anonymous,H,2,1,1
653,18605,86,official,20200101,anonymous,A,2,1,1
654,18542,174,official,20200101,anonymous,H,1,1,1
655,18630,92,official,20200101,anonymous,H,1,1,1
656,18567,8,official,20200101,anonymous,A,2,1,1
657,18627,11,official,20200101,anonymous,A,1,1,1
658,18626,69,official,20200101,anonymous,H,2,1,1
659,18617,153,official,20200101,anonymous,A,1,1,1
660,18832,123,official,20200101,anonymous,A,2,1,1
661,18808,165,official,20200101,anonymous,H,2,1,1
662,18930,136,official,20200101,anonymous,H,1,1,1
663,18807,93,official,20200101,anonymous,H,2,1,1
664,18874,91,official,20200101,anonymous,A,2,1,1
665,18881,11,official,20200101,anonymous,H,1,1,1
666,18931,86,official,20200101,anonymous,A,2,1,1
667,18850,174,official,20200101,anonymous,A,2,1,1
668,18854,69,official,20200101,anonymous,H,2,1,1
669,18873,92,official,20200101,anonymous,H,1,1,1
670,18849,153,official,20200101,anonymous,H,1,1,1
671,18860,8,official,20200101,anonymous,H,1,1,1
672,18896,175,official,20200101,anonymous,H,1,1,1
673,18909,127,official,20200101,anonymous,A,2,1,1
674,19222,165,official,20200101,anonymous,H,2,1,1
675,19350,136,official,20200101,anonymous,A,1,1,1
676,19284,11,official,20200101,anonymous,A,2,1,1
677,19233,127,official,20200101,anonymous,H,2,1,1
678,19265,123,official,20200101,anonymous,H,1,1,1
679,19268,175,official,20200101,anonymous,H,2,1,1
680,19277,93,official,20200101,anonymous,A,2,1,1
681,19359,86,official,20200101,anonymous,H,2,1,1
682,19278,174,official,20200101,anonymous,A,2,1,1
683,19266,69,official,20200101,anonymous,A,2,1,1
684,19361,92,official,20200101,anonymous,A,1,1,1
685,19257,153,official,20200101,anonymous,H,1,1,1
686,19282,8,official,20200101,anonymous,A,1,1,1
687,19500,86,official,20200101,anonymous,A,1,1,1
688,19492,8,official,20200101,anonymous,H,2,1,1
689,19523,123,official,20200101,anonymous,H,1,1,1
690,19522,165,official,20200101,anonymous,A,2,1,1
691,19601,136,official,20200101,anonymous,H,1,1,1
692,19512,174,official,20200101,anonymous,H,1,1,1
693,19573,91,official,20200101,anonymous,H,1,1,1
694,19524,92,official,20200101,anonymous,H,1,1,1
695,19520,127,official,20200101,anonymous,A,2,1,1
696,19544,175,official,20200101,anonymous,H,1,1,1
697,19548,93,official,20200101,anonymous,A,2,1,1
698,19680,11,official,20200101,anonymous,H,1,1,1
699,19566,69,official,20200101,anonymous,H,2,1,1
700,19549,153,official,20200101,anonymous,A,2,1,1
701,19902,165,official,20200101,anonymous,H,2,1,1
702,19895,93,official,20200101,anonymous,H,1,1,1
703,19901,127,official,20200101,anonymous,H,2,1,1
704,20025,123,official,20200101,anonymous,A,2,1,1
705,20035,136,official,20200101,anonymous,A,1,1,1
706,19929,175,official,20200101,anonymous,H,2,1,1
707,20335,69,official,20200101,anonymous,A,2,1,1
708,20349,165,official,20200101,anonymous,H,2,1,1
709,20355,93,official,20200101,anonymous,H,2,1,1
710,20532,11,official,20200101,anonymous,A,2,1,1
711,20605,86,official,20200101,anonymous,H,2,1,1
712,20454,91,official,20200101,anonymous,A,2,1,1
713,20364,153,official,20200101,anonymous,H,1,1,1
714,20425,123,official,20200101,anonymous,A,2,1,1
715,20420,175,official,20200101,anonymous,H,1,1,1
716,20424,174,official,20200101,anonymous,A,2,1,1
717,20529,92,official,20200101,anonymous,H,1,1,1
718,20416,127,official,20200101,anonymous,H,2,1,1
719,20438,8,official,20200101,anonymous,A,2,1,1
720,20831,153,official,20200101,anonymous,A,2,1,1
721,20875,165,official,20200101,anonymous,A,2,1,1
722,20862,175,official,20200101,anonymous,H,1,1,1
723,20939,93,official,20200101,anonymous,A,2,1,1
724,20995,11,official,20200101,anonymous,H,1,1,1
725,20881,69,official,20200101,anonymous,H,2,1,1
726,20889,91,official,20200101,anonymous,H,1,1,1
727,20888,127,official,20200101,anonymous,A,2,1,1
728,20894,123,official,20200101,anonymous,H,1,1,1
729,20979,86,official,20200101,anonymous,A,2,1,1
730,20891,174,official,20200101,anonymous,H,1,1,1
731,20981,92,official,20200101,anonymous,A,1,1,1
732,20915,8,official,20200101,anonymous,H,2,1,1
733,21294,175,official,20200101,anonymous,A,2,1,1
734,21313,153,official,20200101,anonymous,H,1,1,1
735,21285,127,official,20200101,anonymous,H,2,1,1
736,21378,123,official,20200101,anonymous,A,2,1,1
737,21355,174,official,20200101,anonymous,A,1,1,1
738,21453,91,official,20200101,anonymous,H,1,1,1
739,21406,92,official,20200101,anonymous,H,1,1,1
740,21384,8,official,20200101,anonymous,H,2,1,1
741,21695,123,official,20200101,anonymous,H,1,1,1
742,21689,165,official,20200101,anonymous,H,2,1,1
743,21688,175,official,20200101,anonymous,H,1,1,1
744,21704,127,official,20200101,anonymous,A,1,1,1
745,22216,165,official,20200101,anonymous,H,1,1,1
746,22213,93,official,20200101,anonymous,H,2,1,1
747,22419,93,official,20200101,anonymous,A,2,1,1
748,22664,93,official,20200101,anonymous,A,2,1,1
749,22875,127,official,20200101,anonymous,H,2,1,1
